Terrain_Type,Transition_Probability
C1,0.030945558739255016
C2,0.3590523187944391
C3,0.03783296190172981
C4,0.0077470020163429906
C6,0.00010612331529236973
C7,0.001167356468216067
D1,0.024326116947893453
M1,0.03706798967066398
M2,0.1247545898333864
M3,0.0001591849729385546
M4,5.3061657646184864e-05
O1a,0.21874801018783824
O1b,0.10540256110934239
S1,0.027061445399554282
S2,0.025575718985461106
